id,MusicAccess,MusicAccessNo,Age,Gender,Ethnicity,Nationality,Sample,MARS1_1,MARS2_1,MARS3_1,MARS4_1,MARS5_1,MARS6_1,MARS7_1,MARS8_1,MARS9_1,MARS10_1,MARS11_1,MARS12_1,MARS13_1,MARS14_1,MARS15_1,POMSDSF1_1,POMSDSF2_1,POMSDSF3_1,POMSDSF4_1,POMSDSF5_1,POMSDSF6_1,POMSDSF7_1,POMSDSF8_1,Sadness_MIP,MIP_timing_3,POMSDSF1_2,POMSDSF2_2,POMSDSF3_2,POMSDSF4_2,POMSDSF5_2,POMSDSF6_2,POMSDSF7_2,POMSDSF8_2,Condition,Cond_Control,Control_timing_3,Cond_Chet,Chet_timing_3,Cond_SelfSelected,Cond_SS_Instructions,Cond_SS_Timer_3,SelfSelected_Song1,SelfSelected_Song2,POMSDSF1_3,POMSDSF2_3,POMSDSF3_3,POMSDSF4_3,POMSDSF5_3,POMSDSF6_3,POMSDSF7_3,POMSDSF8_3,MusicInfo4_1,RRQ1_1,RRQ2_1,RRQ3_1,RRQ4_1,RRQ5_1,RRQ6_1,RRQ7_1,RRQ8_1,RRQ9_1,RRQ10_1,RRQ11_1,RRQ12_1
11,1, ,18,0,1,Australian,1,6,6,2,2,3,6,5,5,6,2,5,5,2,1,5,0,0,1,1,1,0,1,0,1,310.233,1,1,1,0,1,0,1,0,1,1,307.029, , , , , , , ,0,1,1,1,0,0,1,0, ,2,2,2,4,2,4,2,2,4,4,2,2
12,1, ,19,0,1,Australian,1,6,6,2,2,3,6,5,5,6,1,3,5,3,3,4,0,0,0,0,0,0,0,0,1,310.299,2,3,1,1,1,1,0,0,1,1,297.186, , , , , , , ,1,0,1,0,0,0,0,0, ,4,2,4,4,2,2,4,4,2,2,4,2
13,1, ,19,1,1,Australian,1,7,4,4,2,4,5,6,6,7,4,3,6,3,5,6,0,0,0,2,2,0,1,2,1,310.537,2,1,1,2,2,0,1,1,1,1,296.011, , , , , , , ,1,2,1,1,1,0,1,2, ,4,5,5,5,4,2,4,5,2,2,4,2
14,1, ,18,1,3,Australian,1,5,5,4,4,2,4,5,3,4,2,4,4,4,2,4,0,0,0,0,0,0,0,0,1,310.762,1,2,2,1,1,2,2,1,1,1,281.633, , , , , , , ,1,1,0,0,0,0,0,0, ,3,4,3,4,5,1,4,3,3,1,5,4
15,1, ,18,1,1,Australian,1,5,5,4,2,3,5,4,4,4,2,4,3,4,1,1,0,0,0,0,0,0,0,0,1,311.053,1,1,0,0,0,0,0,0,1,1,282.381, , , , , , , ,0,0,0,0,0,1,0,0, ,2,2,2,2,2,3,2,3,4,3,2,2
16,1, ,24,1,5,American,2,4,5,3,2,2,5,5,4,4,3,4,4,3,3,4,0,0,0,0,1,0,0,0,1,311.441,0,1,0,0,1,0,0,0,1,1,299.583, , , , , , , ,0,0,0,0,0,0,0,0, ,2,2,2,4,2,4,4,4,4,4,2,2
17,1, ,21,1,5,Japanese-Australian,2,5,5,2,2,3,5,4,4,5,2,5,4,3,4,5,1,0,1,0,2,0,1,0,1,312.723,3,4,4,4,3,3,3,2,1,1,319.737, , , , , , , ,1,1,1,0,1,1,1,0, ,4,5,5,5,5,2,5,5,4,2,4,5
18,1, ,19,1,1,Australian,1,5,6,3,4,4,4,6,4,4,2,5,5,1,4,5,0,0,0,0,0,0,0,0,1,312.847,2,3,2,1,1,0,1,0,1,1,293.396, , , , , , , ,0,0,0,0,0,0,0,0, ,4,4,4,4,4,3,5,4,2,2,3,3
19,1, ,23,0,1,Australian,2,5,5,2,4,1,4,5,4,5,2,5,5,3,3,6,1,0,0,1,1,0,1,1,1,314.53,1,0,0,1,1,0,1,0,1,1,306.188, , , , , , , ,1,0,0,1,0,0,0,1, ,4,4,4,4,4,2,4,4,2,4,4,4
20,1, ,25,0,1,Australian,1,2,6,3,2,2,4,4,2,5,2,2,4,3,2,4,0,0,0,0,0,0,0,0,1,314.977,1,1,0,0,0,1,0,0,1,1,292.096, , , , , , , ,0,1,0,0,0,0,0,0, ,3,5,3,5,4,2,4,5,4,2,4,2
22,1, ,25,1,1,Australian,1,6,6,3,1,4,6,6,6,7,1,6,5,3,1,4,0,1,1,0,0,0,0,0,1,315.801,1,2,2,0,0,0,0,0,1,1,301.939, , , , , , , ,0,0,1,0,0,0,0,0, ,2,3,2,5,4,2,4,4,2,2,3,3
24,1, ,21,1,2,Australian,2,4,5,2,1,4,5,5,4,5,1,4,4,2,4,5,0,0,0,0,0,0,0,0,1,315.955,1,3,2,0,0,0,0,0,1,1,305.153, , , , , , , ,0,0,0,0,0,0,0,0, ,2,2,4,4,4,2,4,4,2,2,2,2
25,1, ,19,0,2,Australian,1,5,5,2,4,1,5,5,4,5,1,3,5,5,4,5,0,0,1,0,0,0,0,0,1,316.162,0,1,1,0,0,1,0,0,1,1,283.779, , , , , , , ,1,1,1,0,0,1,0,0, ,5,4,4,4,4,1,4,4,1,1,5,5
26,1, ,22,1,2,Chinese,1,7,5,2,6,4,7,7,6,6,2,6,6,2,5,7,0,0,1,0,0,0,0,0,1,316.575,3,3,3,4,3,3,4,2,1,1,299.77, , , , , , , ,2,1,2,2,2,1,1,0, ,4,4,4,4,5,2,4,4,2,2,4,4
27,1, ,22,1,1,Greek/Australian,2,6,6,2,2,2,6,6,5,4,1,5,6,2,4,6,1,1,1,1,2,0,1,0,1,317.07,3,3,2,0,0,0,0,0,1,1,308.423, , , , , , , ,1,1,1,0,1,0,0,0, ,4,4,3,4,4,2,4,4,2,2,4,4
29,1, ,21,0,2,New Zealand,1,7,7,1,1,1,6,6,6,7,2,4,6,3,4,7,2,1,0,1,0,0,1,0,1,317.907,1,2,1,0,0,0,1,0,1,1,282.659, , , , , , , ,0,0,0,0,0,0,0,0, ,4,5,4,4,4,2,4,4,4,2,4,3
31,1, ,18,0,1,Australian,1,5,4,2,2,4,4,5,5,5,3,3,6,3,2,5,0,0,1,0,1,0,0,0,1,318.627,1,2,1,0,0,0,0,0,1,1,290.328, , , , , , , ,0,0,0,0,0,0,0,0, ,4,4,4,4,4,2,5,4,2,1,3,3
32,1, ,18,1,1,Australian,1,6,6,4,3,2,7,5,5,6,2,6,4,2,4,4,0,0,0,0,1,0,0,0,1,319.525,0,1,0,0,0,0,0,0,1,1,295.442, , , , , , , ,1,0,0,0,0,1,0,0, ,2,3,2,2,4,3,4,4,3,2,2,3
33,1, ,20,0,1,Australian,1,7,7,2,1,4,6,6,6,6,2,5,5,2,1,7,1,0,1,0,0,0,1,0,1,320.133,1,2,1,0,0,0,0,0,1,1,297.276, , , , , , , ,1,0,1,0,0,0,0,0, ,4,4,5,4,4,2,1,4,2,2,4,2
34,1, ,18,1,1,Australian,1,7,4,1,1,1,7,6,6,7,2,6,7,1,4,6,1,0,0,0,0,0,0,0,1,321.127,4,4,3,1,1,3,1,1,1,1,299.178, , , , , , , ,0,0,0,0,3,0,0,0, ,4,4,4,5,3,2,4,4,2,1,4,4
35,1, ,21,1,2,Indian,1,6,5,2,2,3,6,5,4,5,2,6,3,4,3,4,2,2,1,2,1,1,1,2,1,322.838,2,4,3,1,1,1,2,1,1,1,334.105, , , , , , , ,1,2,2,1,1,1,2,1, ,4,5,4,5,4,2,4,4,2,3,4,3
36,1, ,20,1,2,Singaporean,1,4,4,3,3,2,5,5,5,5,3,4,4,4,2,4,1,1,1,1,1,1,1,1,1,322.966,2,2,1,1,1,1,1,1,1,1,302.517, , , , , , , ,1,1,1,1,1,1,1,1, ,4,4,4,4,4,2,4,4,2,2,4,4
37,1, ,21,0,5,Ecuadorian,1,6,5,1,2,1,7,6,5,6,2,4,7,2,2,7,0,0,1,1,0,0,0,0,1,323.275,2,1,1,0,1,0,0,0,1,1,282.943, , , , , , , ,1,1,0,0,1,0,0,0, ,1,2,3,3,2,2,3,4,4,4,3,1
38,1, ,18,1,1,South African,1,6,5,3,1,5,7,6,4,7,2,5,4,2,2,7,0,0,1,0,0,0,0,0,1,325.525,1,0,1,0,1,0,0,0,1,1,295.242, , , , , , , ,0,0,1,0,0,0,0,0, ,4,4,4,5,4,2,3,2,3,5,3,2
40,1, ,18,1,1,Australian,1,5,5,3,1,4,6,6,5,5,2,4,4,3,3,4,0,0,0,0,0,0,0,0,1,326.707,2,2,2,0,1,1,0,0,1,1,303.82, , , , , , , ,0,0,0,0,0,0,0,0, ,3,4,4,5,4,2,4,4,3,2,2,3
43,1, ,21,0,1,Australian,2,6,5,2,2,4,5,5,4,2,1,4,5,3,4,5,0,0,1,0,0,0,0,1,1,331.158,1,2,1,1,0,1,2,1,1,1,315.206, , , , , , , ,1,1,0,0,1,0,0,0, ,4,4,4,5,4,4,4,2,2,2,4,4
44,1, ,22,1,5,Australian,2,5,6,2,1,4,5,6,5,1,2,5,5,4,3,4,1,0,1,1,1,1,1,2,1,331.96,1,2,1,1,0,0,0,0,1,1,283.5, , , , , , , ,2,1,1,1,1,1,1,1, ,4,3,3,3,3,3,4,4,3,3,3,3
45,1, ,22,0,5,Ecuadorian,2,5,6,2,5,1,6,7,7,7,1,7,7,1,4,5,1,1,1,3,2,0,1,0,1,341.205,2,1,1,0,0,0,0,0,1,1,301.005, , , , , , , ,0,0,0,0,0,0,0,0, ,2,4,2,4,3,3,4,4,4,2,2,2
47,1, ,23,0,2,South Korean,1,4,5,3,2,5,5,5,5,4,3,2,5,2,4,5,1,2,2,1,1,1,1,1,1,346.909,2,3,2,2,1,1,1,2,1,1,298.394, , , , , , , ,2,2,2,2,2,1,1,1, ,4,4,3,2,2,4,4,2,4,4,2,2
48,1, ,18,1,2,Australian,1,6,6,4,5,3,6,5,4,6,2,6,4,5,2,6,0,0,0,0,0,0,0,0,1,352.408,2,2,2,1,1,1,1,1,1,1,294.221, , , , , , , ,0,0,0,0,0,0,0,0, ,2,3,2,4,3,3,4,4,3,2,2,2
49,1, ,19,1,1,Australian,1,5,6,2,1,4,5,6,5,5,1,4,5,2,1,4,2,0,0,1,1,0,0,0,1,378.096,3,4,3,0,0,0,0,0,1,1,296.747, , , , , , , ,0,0,0,0,0,0,0,0, ,4,4,4,4,4,2,4,4,2,2,4,4
50,1, ,18,0,1,Australian,2,6,4,2,3,4,5,5,6,7,3,6,5,3,2,5,2,2,2,2,1,1,2,2,1,457.767,2,2,2,2,2,2,2,2,1,1,282.056, , , , , , , ,2,2,2,2,2,1,2,2, ,5,5,5,5,5,2,5,5,2,2,5,5
51,1, ,21,0,1,Australian,2,5,5,3,3,4,5,5,4,5,3,4,4,4,3,5,1,1,0,1,1,0,0,0,1,631.768,1,1,2,0,0,1,0,0,1,1,321.745, , , , , , , ,1,1,0,0,0,0,0,0, ,4,4,4,3,3,3,4,4,3,3,2,4
52,1, ,20,0,1,Australian,2,6,6,2,1,1,6,6,5,7,1,4,5,2,2,6,1,0,0,0,1,0,0,1,1,198.72,1,2,2,0,0,1,0,0,2, , ,2,122.038, , , , , ,1,2,2,0,0,1,0,1, ,3,3,4,4,4,2,4,4,2,3,4,3
53,1, ,22,1,1,Australian,2,4,6,3,2,4,7,5,6,6,3,5,6,2,6,6,1,1,1,0,0,0,0,0,1,212.226,3,3,3,2,3,3,2,2,2, , ,2,34.985, , , , , ,3,3,3,3,3,3,2,2, ,5,4,4,4,4,2,4,4,2,2,5,4
55,1, ,22,0,1,Australian,1,5,5,2,1,2,4,4,5,3,2,4,4,1,1,4,0,0,0,0,0,0,0,0,1,302.395,0,0,0,0,0,0,0,0,2, , ,2,283.375, , , , , ,1,0,0,0,0,0,0,0,4,2,2,2,5,5,1,5,5,1,2,5,5
